# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618005	618199	-							DAUD_RS12325	195		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618005	618199	-	WP_166485085.1	WP_166485085.1		hypothetical protein			DAUD_RS12325	195	64	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618247	618630	-							DAUD_RS11455	384		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618247	618630	-	WP_049752543.1	WP_049752543.1		hypothetical protein			DAUD_RS11455	384	127	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618725	619174	-							DAUD_RS02950	450		partial;pseudo;old_locus_tag=Daud_0582
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	618725	619174	-				helix-turn-helix domain-containing protein			DAUD_RS02950	450		partial;pseudo
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619135	619571	+							DAUD_RS02955	437		pseudo;old_locus_tag=Daud_0583
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619135	619571	+				rubrerythrin family protein			DAUD_RS02955	437		pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619623	619898	+							DAUD_RS02960	276		old_locus_tag=Daud_0584
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619623	619898	+	WP_041570764.1	WP_041570764.1		hypothetical protein			DAUD_RS02960	276	91	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619984	621246	-							DAUD_RS02965	1263		old_locus_tag=Daud_0585
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	619984	621246	-	WP_012301709.1	WP_012301709.1		HD domain-containing protein			DAUD_RS02965	1263	420	
gene	pseudogene	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	621368	621842	-							DAUD_RS11930	475		partial;pseudo
CDS	without_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	621368	621842	-				ISLre2 family transposase			DAUD_RS11930	475		partial;pseudo
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	622204	623535	+							DAUD_RS02975	1332		old_locus_tag=Daud_0587
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	622204	623535	+	WP_012301317.1	WP_012301317.1		transposase			DAUD_RS02975	1332	443	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	623811	625214	+							DAUD_RS02980	1404		old_locus_tag=Daud_0588
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	623811	625214	+	WP_041570766.1	WP_041570766.1		DUF1727 domain-containing protein			DAUD_RS02980	1404	467	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	625186	625911	+							DAUD_RS02985	726		old_locus_tag=Daud_0589
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	625186	625911	+	WP_012301711.1	WP_012301711.1		glutamine amidotransferase			DAUD_RS02985	726	241	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	626361	628256	+							DAUD_RS02990	1896		old_locus_tag=Daud_0591
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	626361	628256	+	WP_012301713.1	WP_012301713.1		protein PrkA			DAUD_RS02990	1896	631	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	628282	629436	+					yhbH		DAUD_RS02995	1155		old_locus_tag=Daud_0592
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	628282	629436	+	WP_012301714.1	WP_012301714.1		sporulation protein YhbH	yhbH		DAUD_RS02995	1155	384	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	629463	630713	+							DAUD_RS03000	1251		old_locus_tag=Daud_0593
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	629463	630713	+	WP_083756693.1	WP_083756693.1		stage V sporulation protein R			DAUD_RS03000	1251	416	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	630767	631618	+							DAUD_RS03005	852		old_locus_tag=Daud_0594
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	630767	631618	+	WP_012301716.1	WP_012301716.1		Ku protein			DAUD_RS03005	852	283	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	631675	632568	-							DAUD_RS03010	894		old_locus_tag=Daud_0595
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	631675	632568	-	WP_012301717.1	WP_012301717.1		PpiC-type peptidyl-prolyl cis-trans isomerase			DAUD_RS03010	894	297	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	632689	633621	+							DAUD_RS03015	933		old_locus_tag=Daud_0596
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	632689	633621	+	WP_012301718.1	WP_012301718.1		ATP-dependent DNA ligase			DAUD_RS03015	933	310	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	633813	634295	+							DAUD_RS11460	483		old_locus_tag=Daud_0597
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	633813	634295	+	WP_012301719.1	WP_012301719.1		DUF1232 domain-containing protein			DAUD_RS11460	483	160	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	634403	634606	-							DAUD_RS03025	204		
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	634403	634606	-	WP_041570768.1	WP_041570768.1		alpha/beta-type small acid-soluble spore protein			DAUD_RS03025	204	67	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	634666	635610	+							DAUD_RS03030	945		old_locus_tag=Daud_0598
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	634666	635610	+	WP_012301720.1	WP_012301720.1		DNA polymerase domain-containing protein			DAUD_RS03030	945	314	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	635710	636825	+					dprA		DAUD_RS03035	1116		old_locus_tag=Daud_0599
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	635710	636825	+	WP_041570770.1	WP_041570770.1		DNA-protecting protein DprA	dprA		DAUD_RS03035	1116	371	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	636869	639004	+					topA		DAUD_RS03040	2136		old_locus_tag=Daud_0600
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	636869	639004	+	WP_012301722.1	WP_012301722.1		type I DNA topoisomerase	topA		DAUD_RS03040	2136	711	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	639004	640323	+							DAUD_RS03045	1320		old_locus_tag=Daud_0601
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	639004	640323	+	WP_012301723.1	WP_012301723.1		methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO			DAUD_RS03045	1320	439	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	640323	641276	+							DAUD_RS03050	954		old_locus_tag=Daud_0602
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	640323	641276	+	WP_012301724.1	WP_012301724.1		tyrosine recombinase XerC			DAUD_RS03050	954	317	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	641379	641912	+					hslV		DAUD_RS03055	534		old_locus_tag=Daud_0603
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	641379	641912	+	WP_012301725.1	WP_012301725.1		ATP-dependent protease subunit HslV	hslV		DAUD_RS03055	534	177	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	641884	643329	+					hslU		DAUD_RS03060	1446		old_locus_tag=Daud_0604
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	641884	643329	+	WP_049752545.1	WP_049752545.1		ATP-dependent protease ATPase subunit HslU	hslU		DAUD_RS03060	1446	481	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	643349	644131	+					codY		DAUD_RS03065	783		old_locus_tag=Daud_0605
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	643349	644131	+	WP_041570771.1	WP_041570771.1		GTP-sensing pleiotropic transcriptional regulator CodY	codY		DAUD_RS03065	783	260	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	644293	645027	+					rpsB		DAUD_RS03070	735		old_locus_tag=Daud_0606
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	644293	645027	+	WP_012301728.1	WP_012301728.1		30S ribosomal protein S2	rpsB		DAUD_RS03070	735	244	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	645101	645706	+					tsf		DAUD_RS03075	606		old_locus_tag=Daud_0607
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	645101	645706	+	WP_012301729.1	WP_012301729.1		translation elongation factor Ts	tsf		DAUD_RS03075	606	201	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	645759	646520	+							DAUD_RS03080	762		old_locus_tag=Daud_0608
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	645759	646520	+	WP_012301730.1	WP_012301730.1		UMP kinase			DAUD_RS03080	762	253	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	646484	647041	+					frr		DAUD_RS03085	558		old_locus_tag=Daud_0609
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	646484	647041	+	WP_041570772.1	WP_041570772.1		ribosome recycling factor	frr		DAUD_RS03085	558	185	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	647369	648085	+							DAUD_RS03090	717		old_locus_tag=Daud_0610
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	647369	648085	+	WP_166485209.1	WP_166485209.1		isoprenyl transferase			DAUD_RS03090	717	238	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	648082	648864	+							DAUD_RS03095	783		old_locus_tag=Daud_0611
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	648082	648864	+	WP_041570773.1	WP_041570773.1		phosphatidate cytidylyltransferase			DAUD_RS03095	783	260	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	648945	650174	-							DAUD_RS03100	1230		old_locus_tag=Daud_0612
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	648945	650174	-	WP_012301734.1	WP_012301734.1		chromate transporter			DAUD_RS03100	1230	409	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	650213	650518	-							DAUD_RS03105	306		old_locus_tag=Daud_0613
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	650213	650518	-	WP_012301735.1	WP_012301735.1		helix-turn-helix transcriptional regulator			DAUD_RS03105	306	101	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	650837	651865	+					ytvI		DAUD_RS03110	1029		old_locus_tag=Daud_0614
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	650837	651865	+	WP_049752546.1	WP_049752546.1		sporulation integral membrane protein YtvI	ytvI		DAUD_RS03110	1029	342	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	651887	653041	+							DAUD_RS03115	1155		old_locus_tag=Daud_0615
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	651887	653041	+	WP_012301737.1	WP_012301737.1		1-deoxy-D-xylulose-5-phosphate reductoisomerase			DAUD_RS03115	1155	384	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	653041	654060	+					rseP		DAUD_RS03120	1020		old_locus_tag=Daud_0616
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	653041	654060	+	WP_012301738.1	WP_012301738.1		RIP metalloprotease RseP	rseP		DAUD_RS03120	1020	339	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	654153	655202	+					ispG		DAUD_RS03125	1050		old_locus_tag=Daud_0617
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	654153	655202	+	WP_012301739.1	WP_012301739.1		flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG		DAUD_RS03125	1050	349	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	655226	656926	+							DAUD_RS03130	1701		old_locus_tag=Daud_0618
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	655226	656926	+	WP_012301740.1	WP_012301740.1		proline--tRNA ligase			DAUD_RS03130	1701	566	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	656998	658290	+							DAUD_RS03135	1293		old_locus_tag=Daud_0619
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	656998	658290	+	WP_041571100.1	WP_041571100.1		nodulation protein NfeD			DAUD_RS03135	1293	430	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	658401	659171	+							DAUD_RS03140	771		old_locus_tag=Daud_0620
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	658401	659171	+	WP_166485210.1	WP_166485210.1		slipin family protein			DAUD_RS03140	771	256	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	659478	660452	+					moaA		DAUD_RS03145	975		old_locus_tag=Daud_0621
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	659478	660452	+	WP_041571101.1	WP_041571101.1		GTP 3',8-cyclase MoaA	moaA		DAUD_RS03145	975	324	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	660683	662101	+							DAUD_RS03150	1419		old_locus_tag=Daud_0622
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	660683	662101	+	WP_012301744.1	WP_012301744.1		ISLre2-like element ISCde3 family transposase			DAUD_RS03150	1419	472	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	662307	663425	+					ribD		DAUD_RS03155	1119		old_locus_tag=Daud_0623
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	662307	663425	+	WP_012301745.1	WP_012301745.1		bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD		DAUD_RS03155	1119	372	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	663406	664053	+							DAUD_RS03160	648		old_locus_tag=Daud_0624
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	663406	664053	+	WP_012301746.1	WP_012301746.1		riboflavin synthase			DAUD_RS03160	648	215	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	664081	665289	+							DAUD_RS03165	1209		old_locus_tag=Daud_0625
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	664081	665289	+	WP_012301747.1	WP_012301747.1		bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II			DAUD_RS03165	1209	402	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	665310	665786	+							DAUD_RS03170	477		old_locus_tag=Daud_0626
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	665310	665786	+	WP_012301748.1	WP_012301748.1		6,7-dimethyl-8-ribityllumazine synthase			DAUD_RS03170	477	158	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	665914	666105	-							DAUD_RS03175	192		old_locus_tag=Daud_0627
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	665914	666105	-	WP_012301749.1	WP_012301749.1		50S ribosomal protein L28			DAUD_RS03175	192	63	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	666169	667179	-							DAUD_RS03180	1011		old_locus_tag=Daud_0628
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	666169	667179	-	WP_012301750.1	WP_012301750.1		2-hydroxyglutaryl-CoA dehydratase			DAUD_RS03180	1011	336	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	667180	669330	-							DAUD_RS03185	2151		old_locus_tag=Daud_0629
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	667180	669330	-	WP_012301751.1	WP_012301751.1		hypothetical protein			DAUD_RS03185	2151	716	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	669732	669992	+							DAUD_RS03190	261		old_locus_tag=Daud_0630
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	669732	669992	+	WP_012301752.1	WP_012301752.1		alpha/beta-type small acid-soluble spore protein			DAUD_RS03190	261	86	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	670074	671018	-							DAUD_RS03195	945		old_locus_tag=Daud_0631
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	670074	671018	-	WP_012301753.1	WP_012301753.1		GPR endopeptidase			DAUD_RS03195	945	314	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	671331	671894	+					rsmD		DAUD_RS03200	564		old_locus_tag=Daud_0632
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	671331	671894	+	WP_012301754.1	WP_012301754.1		16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD		DAUD_RS03200	564	187	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	671891	672382	+					coaD		DAUD_RS03205	492		old_locus_tag=Daud_0633
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	671891	672382	+	WP_012301755.1	WP_012301755.1		pantetheine-phosphate adenylyltransferase	coaD		DAUD_RS03205	492	163	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	672384	672830	+							DAUD_RS03210	447		old_locus_tag=Daud_0634
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	672384	672830	+	WP_041570774.1	WP_041570774.1		hypothetical protein			DAUD_RS03210	447	148	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	672813	673994	-					ylbJ		DAUD_RS03215	1182		old_locus_tag=Daud_0635
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	672813	673994	-	WP_012301757.1	WP_012301757.1		sporulation integral membrane protein YlbJ	ylbJ		DAUD_RS03215	1182	393	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674139	674657	+							DAUD_RS03220	519		old_locus_tag=Daud_0636
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674139	674657	+	WP_012301758.1	WP_012301758.1		DUF177 domain-containing protein			DAUD_RS03220	519	172	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674658	674837	+					rpmF		DAUD_RS03225	180		old_locus_tag=Daud_0637
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674658	674837	+	WP_012301759.1	WP_012301759.1		50S ribosomal protein L32	rpmF		DAUD_RS03225	180	59	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674940	675947	+					plsX		DAUD_RS03230	1008		old_locus_tag=Daud_0638
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	674940	675947	+	WP_012301760.1	WP_012301760.1		phosphate acyltransferase PlsX	plsX		DAUD_RS03230	1008	335	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	675952	676968	+							DAUD_RS03235	1017		old_locus_tag=Daud_0639
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	675952	676968	+	WP_166485211.1	WP_166485211.1		ketoacyl-ACP synthase III			DAUD_RS03235	1017	338	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	676983	677933	+					fabK		DAUD_RS03240	951		old_locus_tag=Daud_0640
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	676983	677933	+	WP_012301762.1	WP_012301762.1		enoyl-[acyl-carrier-protein] reductase FabK	fabK		DAUD_RS03240	951	316	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	677930	678871	+					fabD		DAUD_RS03245	942		old_locus_tag=Daud_0641
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	677930	678871	+	WP_012301763.1	WP_012301763.1		ACP S-malonyltransferase	fabD		DAUD_RS03245	942	313	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	678873	679616	+					fabG		DAUD_RS03250	744		old_locus_tag=Daud_0642
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	678873	679616	+	WP_012301764.1	WP_012301764.1		3-oxoacyl-[acyl-carrier-protein] reductase	fabG		DAUD_RS03250	744	247	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	679693	679926	+							DAUD_RS03255	234		old_locus_tag=Daud_0643
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	679693	679926	+	WP_012301765.1	WP_012301765.1		acyl carrier protein			DAUD_RS03255	234	77	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	679959	681212	+					fabF		DAUD_RS03260	1254		old_locus_tag=Daud_0644
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	679959	681212	+	WP_012301766.1	WP_012301766.1		beta-ketoacyl-ACP synthase II	fabF		DAUD_RS03260	1254	417	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	681212	681919	+							DAUD_RS03265	708		old_locus_tag=Daud_0645
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	681212	681919	+	WP_012301767.1	WP_012301767.1		ribonuclease III			DAUD_RS03265	708	235	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	681929	682843	+					ftsY		DAUD_RS03270	915		old_locus_tag=Daud_0646
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	681929	682843	+	WP_012301768.1	WP_012301768.1		signal recognition particle-docking protein FtsY	ftsY		DAUD_RS03270	915	304	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	683163	684041	+					mtnP		DAUD_RS03275	879		old_locus_tag=Daud_0647
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	683163	684041	+	WP_012301769.1	WP_012301769.1		S-methyl-5'-thioadenosine phosphorylase	mtnP		DAUD_RS03275	879	292	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	684041	685087	+					mtnA		DAUD_RS03280	1047		old_locus_tag=Daud_0648
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	684041	685087	+	WP_012301770.1	WP_012301770.1		S-methyl-5-thioribose-1-phosphate isomerase	mtnA		DAUD_RS03280	1047	348	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	685084	686337	+							DAUD_RS03285	1254		old_locus_tag=Daud_0649
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	685084	686337	+	WP_012301771.1	WP_012301771.1		adenosylhomocysteinase			DAUD_RS03285	1254	417	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	686460	687128	+							DAUD_RS03290	669		old_locus_tag=Daud_0650
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	686460	687128	+	WP_012301772.1	WP_012301772.1		class II aldolase/adducin family protein			DAUD_RS03290	669	222	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	687125	688417	+							DAUD_RS03295	1293		old_locus_tag=Daud_0651
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	687125	688417	+	WP_012301773.1	WP_012301773.1		amidohydrolase			DAUD_RS03295	1293	430	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	688420	688650	-							DAUD_RS03300	231		old_locus_tag=Daud_0652
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	688420	688650	-	WP_012301774.1	WP_012301774.1		hypothetical protein			DAUD_RS03300	231	76	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	688736	690139	-							DAUD_RS03305	1404		old_locus_tag=Daud_0653
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	688736	690139	-	WP_012301775.1	WP_012301775.1		aspartate aminotransferase family protein			DAUD_RS03305	1404	467	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	690409	690777	+							DAUD_RS03310	369		old_locus_tag=Daud_0654
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	690409	690777	+	WP_012301776.1	WP_012301776.1		YlxM family DNA-binding protein			DAUD_RS03310	369	122	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	690777	692135	+					ffh		DAUD_RS03315	1359		old_locus_tag=Daud_0655
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	690777	692135	+	WP_012301777.1	WP_012301777.1		signal recognition particle protein	ffh		DAUD_RS03315	1359	452	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692265	692543	+					rpsP		DAUD_RS03320	279		old_locus_tag=Daud_0656
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692265	692543	+	WP_012301778.1	WP_012301778.1		30S ribosomal protein S16	rpsP		DAUD_RS03320	279	92	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692546	692773	+							DAUD_RS03325	228		old_locus_tag=Daud_0657
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692546	692773	+	WP_012301779.1	WP_012301779.1		KH domain-containing protein			DAUD_RS03325	228	75	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692825	693193	+							DAUD_RS03330	369		old_locus_tag=Daud_0658
CDS	with_protein	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	692825	693193	+	WP_041571106.1	WP_041571106.1		hypothetical protein			DAUD_RS03330	369	122	
gene	protein_coding	GCF_000018425.1	Primary Assembly	chromosome		NC_010424.1	693186	693698	+					rimM		DAUD_RS03335	513		old_locus_tag=Daud_0659
