"MAPPED_TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk * 100"
"455"	"endometriosis, unipolar depression"	1	0	1	100
"456"	"endothelial growth factor measurement, angiopoietin-2 receptor measurement"	1	1	0	50
"457"	"energy expenditure"	2	2	0	50
"458"	"energy expenditure measurement"	1	1	0	50
"459"	"energy intake"	21	14	7	60
"460"	"energy intake measurement"	1	1	0	50
"461"	"eosinophil count"	87	60	27	59.1836734693878
"462"	"eosinophil percentage of granulocytes"	13	6	7	68.4210526315789
"463"	"eosinophil percentage of leukocytes"	37	23	14	61.6666666666667
"464"	"eosinophilic esophagitis"	2	0	2	100
"465"	"eotaxin measurement"	3	3	0	50
"466"	"epilepsy"	5	2	3	71.4285714285714
"467"	"Epstein Barr virus nuclear antigen 1 IgG measurement"	8	6	2	57.1428571428571
"468"	"Erythema nodosum, inflammatory bowel disease"	2	2	0	50
"469"	"erythrocyte cadmium measurement"	3	3	0	50
"470"	"erythrocyte count"	64	45	19	58.7155963302752
"471"	"esophageal adenocarcinoma"	1	1	0	50
"472"	"esophageal adenocarcinoma, Barrett's esophagus"	1	0	1	100
"473"	"esophageal adenocarcinoma, digestive system disease, Barrett's esophagus"	1	1	0	50
"474"	"esophageal adenocarcinoma, pack-years measurement"	1	0	1	100
"475"	"esophageal carcinoma"	4	1	3	80
"476"	"esophageal squamous cell carcinoma"	5	2	3	71.4285714285714
"477"	"essential tremor"	2	1	1	66.6666666666667
"478"	"esterified cholesterol measurement"	3	3	0	50
"479"	"estradiol measurement"	7	5	2	58.3333333333333
"480"	"estrogen-receptor negative breast cancer"	24	12	12	66.6666666666667
"481"	"estrogen-receptor positive breast cancer"	1	0	1	100
"482"	"estrone measurement"	1	0	1	100
"483"	"event free survival time, breast carcinoma"	1	0	1	100
"484"	"event free survival time, type I diabetes mellitus, carrier status, autoantibody measurement"	2	2	0	50
"485"	"Ewing sarcoma"	3	3	0	50
"486"	"exercise"	1	0	1	100
"487"	"exfoliation syndrome"	4	2	2	66.6666666666667
"488"	"extranodal nasal NK/T cell lymphoma"	2	2	0	50
"489"	"eye color"	10	5	5	66.6666666666667
"490"	"eye colour measurement"	3	1	2	75
"491"	"eye measurement"	17	9	8	65.3846153846154
"492"	"eye morphology measurement"	2	2	0	50
"493"	"eyelid sagging measurement"	1	1	0	50
"494"	"facial morphology"	2	0	2	100
"495"	"facial morphology measurement"	3	3	0	50
"496"	"facial pigmentation measurement"	3	3	0	50
"497"	"Facial wrinkling"	2	2	0	50
"498"	"factor VII measurement"	6	4	2	60
"499"	"factor VIII measurement"	4	4	0	50
"500"	"factor VIII measurement, coagulation factor measurement"	1	1	0	50
"501"	"factor XI measurement"	2	2	0	50
"502"	"family history of Alzheimer***s disease"	6	4	2	60
"503"	"fasting blood glucose change measurement"	3	2	1	60
"504"	"fasting blood glucose measurement"	41	20	21	67.2131147540984
"505"	"fasting blood glucose measurement, asthma"	1	1	0	50
"506"	"fasting blood insulin measurement"	11	7	4	61.1111111111111
"507"	"fat body mass"	4	1	3	80
"508"	"fatty acid desaturase enzyme activity measurement"	4	4	0	50
"509"	"fatty acid measurement"	17	8	9	68
"510"	"fatty acid measurement, breast milk measurement, parental genotype effect measurement"	3	1	2	75
"511"	"fatty acid measurement, fetal genotype effect measurement, breast milk measurement"	2	1	1	66.6666666666667
"512"	"Febrile seizure (within the age range of 3 months to 6 years)"	6	4	2	60
"513"	"Febrile seizure (within the age range of 3 months to 6 years), MMR-related febrile seizures"	3	1	2	75
"514"	"feeling \"fed-up\" measurement"	3	3	0	50
"515"	"feeling emotionally hurt measurement"	4	3	1	57.1428571428571
"516"	"feeling miserable measurement"	6	1	5	85.7142857142857
"517"	"feeling nervous measurement"	7	3	4	70
"518"	"feeling tense measurement"	3	1	2	75
"519"	"femoral neck bone mineral density"	26	16	10	61.9047619047619
"520"	"femoral neck size"	1	1	0	50
"521"	"ferritin measurement"	2	1	1	66.6666666666667
"522"	"fetal hemoglobin measurement"	1	1	0	50
"523"	"fetal hemoglobin measurement, Sickle cell anemia"	4	2	2	66.6666666666667
"524"	"FEV change measurement, response to montelukast, asthma"	2	1	1	66.6666666666667
"525"	"FEV/FEC ratio"	21	11	10	65.625
"526"	"fibrinogen measurement"	14	8	6	63.6363636363636
"527"	"fibrinogen measurement, body mass index"	1	1	0	50
"528"	"fibroblast growth factor 23 measurement"	2	2	0	50
"529"	"fibroblast growth factor basic measurement"	1	0	1	100
"530"	"ficolin-1 measurement"	1	0	1	100
"531"	"follistatin measurement"	2	0	2	100
"532"	"food allergy measurement"	2	1	1	66.6666666666667
"533"	"forced expiratory volume"	18	13	5	58.0645161290323
"534"	"forced expiratory volume, environmental tobacco smoke exposure measurement"	1	0	1	100
"535"	"forced expiratory volume, response to bronchodilator"	47	25	22	65.2777777777778
"536"	"forced expiratory volume, response to bronchodilator, chronic obstructive pulmonary disease"	2	0	2	100
"537"	"forced expiratory volume, response to mineral dust exposure"	1	1	0	50
"538"	"forehead morphology measurement"	1	0	1	100
"539"	"freckles"	3	3	0	50
"540"	"frontal theta oscillation measurement, alcohol dependence"	2	1	1	66.6666666666667
"541"	"Frontotemporal dementia"	2	1	1	66.6666666666667
"542"	"gait measurement"	8	3	5	72.7272727272727
"543"	"galanin peptides measurement"	1	0	1	100
"544"	"galectin-3 measurement"	1	0	1	100
"545"	"gallbladder neoplasm"	1	1	0	50
"546"	"gallstones"	3	1	2	75
"547"	"gambling behaviour"	2	2	0	50
"548"	"gamma-linolenic acid measurement"	3	2	1	60
"549"	"gas trapping measurement"	4	3	1	57.1428571428571
"550"	"gastric adenocarcinoma"	1	0	1	100
"551"	"gastric carcinoma"	7	4	3	63.6363636363636
"552"	"GDNF family receptor alpha-2 measurement"	1	0	1	100
"553"	"generalised epilepsy"	1	0	1	100
"554"	"gestational age"	1	1	0	50
"555"	"gestational age, birth measurement"	2	2	0	50
"556"	"gestational age, parental genotype effect measurement"	1	0	1	100
"557"	"gestational diabetes"	2	2	0	50
"558"	"glaucoma"	16	14	2	53.3333333333333
"559"	"glioma"	8	5	3	61.5384615384615
"560"	"glomerular filtration rate"	112	62	50	64.367816091954
"561"	"glomerular filtration rate, chronic kidney disease"	4	2	2	66.6666666666667
"562"	"glomerular filtration rate, diabetes mellitus"	6	0	6	100
"563"	"glomerular filtration rate, renal transplant outcome measurement"	1	1	0	50
"564"	"glucagon measurement"	4	2	2	66.6666666666667
"565"	"glucose-dependent insulinotropic peptide measurement, glucose tolerance test"	4	4	0	50
"566"	"glucose measurement"	3	1	2	75
"567"	"glucose tolerance test"	3	1	2	75
"568"	"glutamine measurement, amino acid measurement"	2	0	2	100
"569"	"glycerophospholipid measurement, blood metabolite measurement"	33	33	0	50
"570"	"glycine measurement"	12	4	8	75
"571"	"glycine measurement, amino acid measurement"	1	0	1	100
"572"	"glycoprotein measurement"	4	0	4	100
"573"	"Glycosuria"	3	0	3	100
"574"	"glypican-5 measurement"	1	1	0	50
"575"	"gondoic acid measurement"	2	2	0	50
"576"	"gout"	17	8	9	68
"577"	"gout, hyperuricemia"	2	1	1	66.6666666666667
"578"	"gout, urate measurement"	1	1	0	50
"579"	"gp41 C34 peptide, HIV measurement"	1	1	0	50
"580"	"granule cell layer dentate gyrus volume"	1	1	0	50
"581"	"granulocyte count"	15	11	4	57.6923076923077
"582"	"granulocyte percentage of myeloid white cells"	12	8	4	60
"583"	"Graves disease"	11	8	3	57.8947368421053
"584"	"grip strength measurement"	13	10	3	56.5217391304348
"585"	"growth-regulated alpha protein measurement"	3	1	2	75
"586"	"guilt measurement"	1	1	0	50
"587"	"gut microbiome measurement"	44	32	12	57.8947368421053
"588"	"gut microbiome measurement, taxonomic microbiome measurement"	5	3	2	62.5
"589"	"hair color"	30	20	10	60
"590"	"hair colour measurement"	5	5	0	50
"591"	"hair morphology"	3	2	1	60
"592"	"handedness"	2	2	0	50
"593"	"Hashimoto's thyroiditis, thyroid peroxidase antibody measurement"	2	0	2	100
"594"	"Hashimoto's thyroiditis, thyroid peroxidase antibody measurement, anti-thyroglobulin antibody measurement"	4	2	2	66.6666666666667
"595"	"HbA1c measurement"	33	16	17	67.3469387755102
"596"	"HDL cholesterol change measurement"	2	2	0	50
"597"	"HDL cholesterol change measurement, physical activity"	4	4	0	50
"598"	"head circumference"	1	1	0	50
"599"	"Headache"	3	3	0	50
"600"	"health study participation"	2	2	0	50
"601"	"healthspan"	1	0	1	100
"602"	"hearing loss, Charcot-Marie-Tooth disease type 1A"	1	1	0	50
"603"	"heart failure"	2	1	1	66.6666666666667
"604"	"heart failure, mortality"	2	1	1	66.6666666666667
"605"	"heart function measurement"	6	6	0	50
"606"	"heart rate"	21	9	12	70
"607"	"heart rate response to exercise"	5	4	1	55.5555555555556
"608"	"heart rate response to recovery post exercise"	15	8	7	65.2173913043478
"609"	"heart rate variability measurement"	8	0	8	100
"610"	"heel bone mineral density"	162	74	88	68.6440677966102
"611"	"height-adjusted body mass index"	2	1	1	66.6666666666667
"612"	"hematocrit"	111	78	33	58.7301587301587
"613"	"hematological measurement"	1	1	0	50
"614"	"Hemifacial microsomia"	5	2	3	71.4285714285714
"615"	"hemoglobin A1 measurement"	1	1	0	50
"616"	"hemoglobin A2 measurement"	1	1	0	50
"617"	"hemoglobin measurement"	145	99	46	59.4262295081967
"618"	"hemoglobin measurement, fetal hemoglobin measurement"	1	1	0	50
"619"	"hemoglobin measurement, hemoglobin A2 measurement"	1	1	0	50
"620"	"hemoglobin measurement, mean corpuscular hemoglobin"	7	6	1	53.8461538461539
"621"	"hemoglobin measurement, mean corpuscular hemoglobin concentration"	4	4	0	50
"622"	"hepatitis B virus infection"	7	2	5	77.7777777777778
"623"	"hepatitis B virus infection, hepatocellular carcinoma"	1	1	0	50
"624"	"hepatitis B virus infection, Susceptibility to viral and mycobacterial infections"	2	2	0	50
"625"	"Hepatitis B virus surface antigen seropositivity, chronic hepatitis B virus infection"	1	1	0	50
"626"	"hepatitis C induced liver cirrhosis"	1	1	0	50
"627"	"hepatitis C virus infection, cirrhosis of liver"	1	1	0	50
"628"	"hepatocellular carcinoma"	5	3	2	62.5
"629"	"hepatocyte growth factor-like protein measurement"	1	1	0	50
"630"	"hepatocyte growth factor measurement"	1	0	1	100
"631"	"hepatocyte growth factor receptor measurement"	1	1	0	50
"632"	"hepcidin:ferritin ratio"	4	3	1	57.1428571428571
"633"	"hepcidin:transferrin saturation ratio"	2	2	0	50
"634"	"herpes virus seropositivity"	1	0	1	100
"635"	"Herpes Zoster"	1	0	1	100
"636"	"high density lipoprotein cholesterol measurement"	635	330	305	65.8031088082902
"637"	"high density lipoprotein cholesterol measurement, metabolic syndrome"	1	1	0	50
"638"	"hip bone mineral density"	4	3	1	57.1428571428571
"639"	"hip bone mineral density, age at menarche"	1	1	0	50
"640"	"hip bone mineral density, hip bone size"	3	0	3	100
"641"	"hip bone size"	5	2	3	71.4285714285714
"642"	"hip circumference"	50	26	24	65.7894736842105
"643"	"hip circumference, psychosocial stress measurement"	1	0	1	100
"644"	"hippocampal atrophy"	3	2	1	60
"645"	"hippocampal CA4 volume"	1	1	0	50
"646"	"hippocampal sclerosis of aging"	1	1	0	50
"647"	"hippocampal volume"	5	0	5	100
"648"	"hippocampal volume, brain volume measurement"	2	0	2	100
"649"	"Hirschsprung disease"	2	0	2	100
"650"	"HIV-1 infection"	6	4	2	60
"651"	"HIV-1 infection, bilirubin measurement"	1	1	0	50
"652"	"HIV-1 infection, cognitive impairment measurement"	1	0	1	100
"653"	"HIV-1 infection, Susceptibility to viral and mycobacterial infections"	1	1	0	50
"654"	"HIV-1 infection, viral load"	3	2	1	60
"655"	"HIV-associated neurocognitive disorder, asymptomatic neurocognitive impairment"	1	0	1	100
"656"	"HMG CoA reductase inhibitor use measurement"	13	11	2	54.1666666666667
"657"	"Hodgkins lymphoma"	3	3	0	50
"658"	"Hodgkins lymphoma, multiple myeloma, chronic lymphocytic leukemia"	3	1	2	75
"659"	"HOMA-B"	7	4	3	63.6363636363636
"660"	"HOMA-IR"	1	0	1	100
"661"	"homocysteine measurement"	13	11	2	54.1666666666667
"662"	"hormone measurement"	9	8	1	52.9411764705882
"663"	"hormone measurement, free androgen index"	1	1	0	50
"664"	"hormone measurement, progesterone measurement"	1	1	0	50
"665"	"hormone measurement, thyroid stimulating hormone measurement"	29	17	12	63.0434782608696
"666"	"hormone measurement, thyroxine measurement"	7	7	0	50
"667"	"household income"	26	19	7	57.7777777777778
"668"	"human Chorionic Gonadotropin measurement"	1	0	1	100
"669"	"HVA measurement, 5-HIAA measurement"	1	1	0	50
"670"	"HVA measurement, MHPG measurement"	2	1	1	66.6666666666667
"671"	"hydroxy-leucine measurement"	3	1	2	75
"672"	"hyperemesis gravidarum"	1	0	1	100
"673"	"hypersomnia"	2	2	0	50
"674"	"hypertension"	52	27	25	65.8227848101266
"675"	"Hyperthyroidism"	1	0	1	100
"676"	"Hypertriglyceridemia"	1	0	1	100
"677"	"hypospadias"	13	7	6	65
"678"	"hypothyroidism"	8	8	0	50
"679"	"ICAM-1 measurement"	7	3	4	70
"680"	"idiopathic dilated cardiomyopathy"	1	1	0	50
"681"	"idiopathic pulmonary fibrosis"	4	1	3	80
"682"	"IGA glomerulonephritis"	32	27	5	54.2372881355932
"683"	"IGF-1 measurement"	1	1	0	50
"684"	"IGFBP-3 measurement"	2	1	1	66.6666666666667
"685"	"IgG bisecting N-acetyl glucosamine measurement"	2	1	1	66.6666666666667
"686"	"IgG digalactosylation measurement"	2	1	1	66.6666666666667
"687"	"IgG disialylation measurement"	2	1	1	66.6666666666667
"688"	"IgG fucosylation measurement"	1	0	1	100
"689"	"IgG galactosylation measurement"	3	1	2	75
"690"	"IgG monogalactosylation measurement"	2	1	1	66.6666666666667
"691"	"IgG sialylation measurement"	2	1	1	66.6666666666667
"692"	"ileocolitis, Crohn's disease"	1	0	1	100
"693"	"immune system disease"	6	5	1	54.5454545454545
"694"	"immunoglobulin isotype switching measurement"	1	1	0	50
"695"	"Immunosuppressant use measurement"	1	1	0	50
"696"	"infant body height"	10	8	2	55.5555555555556
"697"	"infant head circumference"	4	3	1	57.1428571428571
"698"	"infant white matter volume measurement"	1	0	1	100
"699"	"infantile hypertrophic pyloric stenosis"	9	5	4	64.2857142857143
"700"	"inflammatory biomarker measurement, YKL40 measurement"	3	0	3	100
"701"	"inflammatory bowel disease"	98	58	40	62.8205128205128
"702"	"inflammatory response"	1	1	0	50
"703"	"information processing speed"	9	5	4	64.2857142857143
"704"	"Inhalant adrenergic use measurement"	3	3	0	50
"705"	"initial pursuit acceleration"	1	0	1	100
"706"	"inorganic pyrophosphatase measurement"	1	1	0	50
"707"	"inosine-5'-monophosphate dehydrogenase 1 measurement"	1	1	0	50
"708"	"insomnia"	1	1	0	50
"709"	"insomnia measurement"	28	14	14	66.6666666666667
"710"	"insulin measurement"	7	1	6	87.5
"711"	"insulin measurement, glucose tolerance test"	2	1	1	66.6666666666667
"712"	"insulin receptor measurement"	1	1	0	50
"713"	"insulin resistance"	3	1	2	75
"714"	"insulin sensitivity measurement"	5	2	3	71.4285714285714
"715"	"insulin sensitivity measurement, body mass index"	4	0	4	100
"716"	"Insulinogenic index measurement"	1	1	0	50
"717"	"intelligence"	103	65	38	61.3095238095238
"718"	"intelligence, specific language impairment, dyslexia"	1	1	0	50
"719"	"intercellular adhesion molecule 2 measurement"	1	1	0	50
"720"	"intercellular adhesion molecule 5 measurement"	1	0	1	100
"721"	"interferon gamma measurement"	1	1	0	50
"722"	"interleukin-1 beta measurement"	2	1	1	66.6666666666667
"723"	"interleukin-6 measurement"	4	3	1	57.1428571428571
"724"	"interleukin-6 measurement, chronic obstructive pulmonary disease"	3	2	1	60
"725"	"interleukin-8 measurement"	1	1	0	50
"726"	"interleukin 1 receptor-like 1 measurement"	1	0	1	100
"727"	"interleukin 1 Receptor accessory protein measurement"	1	0	1	100
"728"	"interleukin 1 receptor antagonist measurement"	3	1	2	75
"729"	"interleukin 10 measurement"	3	2	1	60
"730"	"interleukin 12 measurement"	3	3	0	50
"731"	"interleukin 13 measurement"	3	1	2	75
"732"	"interleukin 16 measurement"	3	0	3	100
"733"	"interleukin 17 measurement"	1	0	1	100
"734"	"interleukin 17 receptor B measurement"	1	1	0	50
"735"	"interleukin 18 measurement"	4	1	3	80
"736"	"interleukin 18 receptor 1 measurement"	1	1	0	50
"737"	"interleukin 2 measurement"	1	1	0	50
"738"	"interleukin 2 receptor antagonist measurement"	3	2	1	60
"739"	"interleukin 23 receptor measurement"	1	1	0	50
"740"	"interleukin 27 receptor subunit alpha measurement"	1	0	1	100
"741"	"interleukin 4 measurement"	1	0	1	100
"742"	"interleukin 5 measurement"	1	0	1	100
"743"	"interleukin 9 measurement"	3	0	3	100
"744"	"interstitial lung disease"	5	3	2	62.5
"745"	"intertrochanteric region size"	2	2	0	50
"746"	"intracerebral hemorrhage"	2	0	2	100
"747"	"intracranial volume measurement"	2	2	0	50
"748"	"intraocular pressure measurement"	84	47	37	64.1221374045801
"749"	"iron biomarker measurement"	4	3	1	57.1428571428571
"750"	"iron biomarker measurement, ferritin measurement"	4	2	2	66.6666666666667
"751"	"iron biomarker measurement, serum iron measurement"	4	2	2	66.6666666666667
"752"	"iron biomarker measurement, total iron binding capacity"	2	2	0	50
"753"	"iron biomarker measurement, transferrin measurement"	7	5	2	58.3333333333333
"754"	"iron biomarker measurement, transferrin saturation measurement"	5	4	1	55.5555555555556
"755"	"irritability measurement"	7	5	2	58.3333333333333
"756"	"irritable bowel syndrome"	3	2	1	60
"757"	"Ischemic stroke"	4	0	4	100
"758"	"Ischemic stroke, cardiac embolism"	1	0	1	100
"759"	"Ischemic stroke, stroke outcome severity measurement"	3	2	1	60
"760"	"Ischemic stroke, von Willebrand factor measurement, homocysteine measurement"	1	1	0	50
"761"	"Isolated craniosynostosis"	1	1	0	50
"762"	"Isolated scaphocephaly"	2	2	0	50
"763"	"juvenile idiopathic arthritis"	4	2	2	66.6666666666667
"764"	"Keloid"	1	1	0	50
"765"	"keratinocyte carcinoma"	16	8	8	66.6666666666667
"766"	"kininogen-1 measurement"	1	1	0	50
"767"	"kit ligand measurement"	1	1	0	50
"768"	"Knee pain"	1	1	0	50
"769"	"L-arginine measurement, amino acid measurement"	1	0	1	100
"770"	"L-Selectin measurement"	1	1	0	50
"771"	"language impairment"	1	1	0	50
"772"	"large artery stroke"	2	1	1	66.6666666666667
"773"	"late-onset Alzheimers disease"	3	1	2	75
"774"	"LDL cholesterol change measurement"	3	2	1	60
"775"	"LDL peak particle diameter measurement, total fat intake measurement"	1	0	1	100
"776"	"lean body mass"	1	0	1	100
"777"	"lean mass-adjusted fat body mass, femoral neck bone mineral density"	1	0	1	100
"778"	"left ventricular diastolic function measurement"	1	0	1	100
"779"	"left ventricular structural measurement"	3	1	2	75
"780"	"lentiform nucleus measurement"	5	3	2	62.5
"781"	"leprosy"	11	4	7	73.3333333333333
"782"	"leptin measurement"	44	8	36	84.6153846153846
"783"	"leukocyte count"	72	42	30	63.1578947368421
"784"	"leukopenia, response to thiopurine, inflammatory bowel disease"	1	0	1	100
"785"	"Lewy body dementia"	1	0	1	100
"786"	"Lewy body dementia, Lewy body dementia measurement"	1	1	0	50
"787"	"lifestyle measurement, diastolic blood pressure"	2	2	0	50
"788"	"lifestyle measurement, systolic blood pressure"	1	0	1	100
"789"	"limited scleroderma"	1	1	0	50
"790"	"linguistic error measurement, specific language impairment"	2	0	2	100
"791"	"linoleic acid measurement"	3	2	1	60
"792"	"lipid measurement"	6	3	3	66.6666666666667
"793"	"lipid measurement, blood metabolite measurement"	2	1	1	66.6666666666667
"794"	"lipoprotein-associated phospholipase A(2) measurement"	11	6	5	64.7058823529412
"795"	"lipoprotein-associated phospholipase A(2) measurement, acute coronary syndrome, coronary artery disease"	3	3	0	50
"796"	"lipoprotein A measurement"	4	3	1	57.1428571428571
"797"	"lipoprotein A measurement, apolipoprotein A 1 measurement"	1	1	0	50
"798"	"lipoprotein A measurement, coronary artery disease"	1	0	1	100
"799"	"lipoprotein measurement"	3	3	0	50
"800"	"lipoprotein measurement, blood metabolite measurement"	6	5	1	54.5454545454545
"801"	"liver enzyme measurement, serum alanine aminotransferase measurement"	1	1	0	50
"802"	"liver fat measurement, liver disease biomarker"	3	2	1	60
"803"	"lobe size"	1	1	0	50
"804"	"loneliness measurement"	2	2	0	50
"805"	"longevity"	17	7	10	70.8333333333333
"806"	"longevity, healthspan, parental longevity"	6	4	2	60
"807"	"longitudinal alcohol consumption measurement"	3	0	3	100
"808"	"longitudinal BMI measurement"	3	2	1	60
"809"	"longitudinal BMI measurement, age at assessment"	1	0	1	100
"810"	"low density lipoprotein cholesterol measurement"	514	265	249	65.982028241335
"811"	"low density lipoprotein cholesterol measurement, alcohol consumption measurement"	31	19	12	62
"812"	"low density lipoprotein cholesterol measurement, alcohol drinking"	54	37	17	59.3406593406593
"813"	"low density lipoprotein cholesterol measurement, C-reactive protein measurement"	4	2	2	66.6666666666667
"814"	"low density lipoprotein cholesterol measurement, coronary artery disease"	1	1	0	50
"815"	"low density lipoprotein cholesterol measurement, physical activity"	8	4	4	66.6666666666667
"816"	"low tension glaucoma"	1	1	0	50
"817"	"lower urinary tract symptom, benign prostatic hyperplasia"	3	1	2	75
"818"	"lumbar disc degeneration"	4	3	1	57.1428571428571
"819"	"lung adenocarcinoma"	15	5	10	75
"820"	"lung carcinoma"	13	6	7	68.4210526315789
"821"	"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma"	3	2	1	60
"822"	"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, squamous cell lung carcinoma, lung adenocarcinoma"	1	1	0	50
"823"	"lung carcinoma, family history of lung cancer"	2	1	1	66.6666666666667
"824"	"lung carcinoma, squamous cell carcinoma, gastric carcinoma"	1	1	0	50
"825"	"lymphocyte count"	116	76	40	60.4166666666667
"826"	"lymphocyte percentage of leukocytes"	29	21	8	58
"827"	"lymphoid leukemia"	1	0	1	100
"828"	"lymphoma"	2	2	0	50
"829"	"lysine measurement, amino acid measurement"	1	0	1	100
"830"	"lysosomal protective protein measurement"	1	1	0	50
"831"	"macrophage colony stimulating factor measurement"	1	0	1	100
"832"	"macrophage inflammatory protein 1a measurement"	1	0	1	100
"833"	"macrophage inflammatory protein 1b measurement"	9	0	9	100
"834"	"macrophage migration inhibitory factor measurement"	2	1	1	66.6666666666667
"835"	"macrophage scavenger receptor types I and II measurement"	1	0	1	100
"836"	"magnesium measurement"	7	5	2	58.3333333333333
"837"	"magnesium:calcium ratio"	1	1	0	50
"838"	"malaria"	3	0	3	100
"839"	"malate measurement"	1	0	1	100
"840"	"Malignant epithelial tumor of ovary"	5	4	1	55.5555555555556
"841"	"mannose-binding protein C measurement"	1	1	0	50
"842"	"mathematical ability"	129	72	57	64.1791044776119
"843"	"matrix metalloproteinase 10 measurement"	3	2	1	60
"844"	"matrix metalloproteinase 12 measurement"	1	0	1	100
"845"	"matrix metalloproteinase measurement"	4	3	1	57.1428571428571
"846"	"matrix metalloproteinase measurement, Alzheimer's disease, Alzheimer's disease biomarker measurement"	1	1	0	50
"847"	"mean arterial pressure"	60	40	20	60
"848"	"mean arterial pressure, alcohol consumption measurement"	4	1	3	80
"849"	"mean arterial pressure, alcohol drinking"	5	4	1	55.5555555555556
"850"	"mean arterial pressure, blood pressure, age at assessment"	1	1	0	50
"851"	"mean arterial pressure, response to cold pressor test"	1	1	0	50
"852"	"mean arterial pressure, response to high sodium diet, response to dietary potassium supplementation"	1	1	0	50
"853"	"mean corpuscular hemoglobin"	77	49	28	61.1111111111111
"854"	"mean corpuscular hemoglobin concentration"	97	45	52	68.3098591549296
"855"	"mean corpuscular volume"	194	124	70	61.0062893081761
"856"	"mean platelet volume"	166	69	97	70.6382978723404
"857"	"mean reticulocyte volume"	26	19	7	57.7777777777778
"858"	"melanoma"	13	9	4	59.0909090909091
"859"	"membranous glomerulonephritis"	1	1	0	50
"860"	"memory performance"	3	3	0	50
"861"	"Meningioma"	1	1	0	50
"862"	"Menorrhagia"	1	0	1	100
"863"	"menstrual cycle measurement"	1	0	1	100
"864"	"metabolic rate measurement"	1	0	1	100
"865"	"metabolic syndrome"	31	15	16	67.3913043478261
"866"	"metabolite measurement"	27	20	7	57.4468085106383
"867"	"methamphetamine-induced psychosis"	1	0	1	100
"868"	"methionine aminopeptidase 2 measurement"	1	1	0	50
"869"	"methionine measurement"	1	0	1	100
"870"	"MHC class I polypeptide-related sequence A measurement"	2	2	0	50
"871"	"MHC class I polypeptide-related sequence B measurement"	4	4	0	50
"872"	"MHPG measurement"	3	2	1	60
"873"	"MHPG measurement, 5-HIAA measurement"	1	1	0	50
"874"	"microglial activation measurement"	1	0	1	100
"875"	"migraine disorder"	13	11	2	54.1666666666667
"876"	"migraine with aura"	1	1	0	50
"877"	"migraine without aura"	3	3	0	50
"878"	"MMR-related febrile seizures"	8	4	4	66.6666666666667
"879"	"Moderate albuminuria"	3	3	0	50
"880"	"Modic type vertebral endplate changes"	2	0	2	100
"881"	"monoclonal gammopathy"	1	0	1	100
"882"	"monocyte count"	127	80	47	61.3526570048309
"883"	"monocyte percentage of leukocytes"	37	27	10	57.8125
"884"	"monokine induced by gamma interferon measurement"	3	1	2	75
"885"	"mood instability measurement"	4	1	3	80
"886"	"mosaic loss of chromosome Y measurement"	4	0	4	100
"887"	"mosquito bite reaction itch intensity measurement"	6	4	2	60
"888"	"mosquito bite reaction itch intensity measurement, mosquito bite reaction size measurement"	16	6	10	72.7272727272727
"889"	"mosquito bite reaction size measurement"	5	3	2	62.5
"890"	"motion sickness"	19	14	5	57.5757575757576
"891"	"motor function measurement, response to zonisamide, response to levodopa"	2	0	2	100
"892"	"mouth morphology measurement"	1	1	0	50
"893"	"Moyamoya disease"	2	0	2	100
"894"	"mucocutaneous lymph node syndrome"	10	5	5	66.6666666666667
"895"	"multiple births measurement"	1	0	1	100
"896"	"multiple myeloma"	12	5	7	70.5882352941176
"897"	"multiple sclerosis"	92	60	32	60.5263157894737
"898"	"multiple sclerosis, Epstein Barr virus nuclear antigen 1 IgG measurement"	1	1	0	50
"899"	"multiple sclerosis, response to interferon beta, anti-drug antibody measurement"	1	1	0	50
"900"	"multiple system atrophy"	2	1	1	66.6666666666667
"901"	"multisite chronic pain"	1	1	0	50
"902"	"Myasthenia gravis"	3	3	0	50
"903"	"myeloid cell surface antigen CD33 measurement"	1	1	0	50
"904"	"myeloid white cell count"	86	50	36	63.2352941176471
"905"	"myeloperoxidase measurement"	5	4	1	55.5555555555556
"906"	"myeloproliferative disorder"	4	3	1	57.1428571428571
"907"	"myocardial infarction"	26	11	15	70.2702702702703
"908"	"myocardial infarction, coronary artery disease"	1	1	0	50
"909"	"Myopia"	1	0	1	100
"910"	"N-glycan measurement"	9	9	0	50
"911"	"narcolepsy with cataplexy"	3	3	0	50
"912"	"narcolepsy with cataplexy, age at onset"	1	1	0	50
"913"	"Nasal Cavity Polyp"	4	2	2	66.6666666666667
"914"	"nasopharyngeal neoplasm"	1	0	1	100
"915"	"natural cytotoxicity triggering receptor 3 measurement"	1	1	0	50
"916"	"nausea and vomiting of pregnancy severity measurement"	1	0	1	100
"917"	"neonate, birth weight"	1	1	0	50
"918"	"neonate, fat body mass"	1	1	0	50
"919"	"neonate, sum of skinfolds"	2	2	0	50
"920"	"neoplasm of mature B-cells"	7	5	2	58.3333333333333
"921"	"Nephroblastoma"	2	2	0	50
