"DISEASE.TRAIT"	"risk_count"	"risk_1"	"risk_count_2"	"overall_risk_d * 100"
"422"	"Comprehensive strength and appendicular lean mass"	2	2	0	50
"423"	"Conduct disorder"	1	0	1	100
"424"	"Conduct disorder (maternal expressed emotions interaction)"	3	2	1	60
"425"	"Conscientiousness"	1	1	0	50
"426"	"Corneal astigmatism"	8	0	8	100
"427"	"Corneal curvature"	14	10	4	58.3333333333333
"428"	"Corneal structure"	15	8	7	65.2173913043478
"429"	"Coronary artery calcification"	4	4	0	50
"430"	"Coronary artery disease"	130	74	56	63.7254901960784
"431"	"Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)"	20	12	8	62.5
"432"	"Coronary artery disease and LDL cholesterol levels (multivariate analysis)"	1	1	0	50
"433"	"Coronary artery disease and total cholesterol levels (multivariate analysis)"	1	0	1	100
"434"	"Coronary artery disease or ischemic stroke"	1	1	0	50
"435"	"Coronary atherosclerosis (increased number of diseased vessels) (traffic exposure interaction)"	1	0	1	100
"436"	"Coronary heart disease"	39	20	19	66.1016949152542
"437"	"Cortical surface area"	16	4	12	80
"438"	"Cortical thickness"	2	1	1	66.6666666666667
"439"	"Cortisol levels (saliva)"	1	0	1	100
"440"	"Cotinine glucuronidation"	5	0	5	100
"441"	"COVID-19 (critical illness vs population)"	1	1	0	50
"442"	"Craniofacial microsomia"	5	2	3	71.4285714285714
"443"	"Creatinine levels"	8	5	3	61.5384615384615
"444"	"Creativity"	1	0	1	100
"445"	"Creutzfeldt-Jakob disease (sporadic)"	2	1	1	66.6666666666667
"446"	"Crohn's disease"	134	77	57	63.5071090047393
"447"	"Crohn's disease-related phenotypes"	3	2	1	60
"448"	"Crohn's disease (indolent vs progressive)"	1	1	0	50
"449"	"Crohn's disease and celiac disease"	1	1	0	50
"450"	"Crohn's disease or systemic sclerosis"	1	1	0	50
"451"	"CTACK levels"	2	0	2	100
"452"	"Cutaneous lupus erythematosus"	1	1	0	50
"453"	"Cutaneous malignant melanoma"	7	5	2	58.3333333333333
"454"	"Cutaneous melanoma or hair colour"	4	0	4	100
"455"	"Cutaneous psoriasis"	3	2	1	60
"456"	"Cutaneous squamous cell carcinoma"	5	5	0	50
"457"	"Cystic fibrosis-related diabetes"	1	0	1	100
"458"	"Cystic fibrosis severity"	1	0	1	100
"459"	"D-dimer levels"	3	2	1	60
"460"	"Daytime nap"	1	1	0	50
"461"	"Daytime sleep phenotypes"	1	0	1	100
"462"	"Decreased sensory function in Charcot-Marie-Tooth disease type 1A"	1	0	1	100
"463"	"Deep white matter hyperintensities"	1	0	1	100
"464"	"Dehydroepiandrosterone sulphate levels"	5	5	0	50
"465"	"Deliberate self-harm"	2	0	2	100
"466"	"Delta-6 desaturase activity"	3	3	0	50
"467"	"Dementia and core Alzheimer's disease neuropathologic changes"	2	2	0	50
"468"	"Dementia with Lewy bodies"	1	0	1	100
"469"	"Dentate gyrus granule cell layer volume"	1	1	0	50
"470"	"Dentures"	4	3	1	57.1428571428571
"471"	"Depressed affect"	3	2	1	60
"472"	"Depression"	12	8	4	60
"473"	"Depression (broad)"	2	1	1	66.6666666666667
"474"	"Depression (quantitative trait)"	6	4	2	60
"475"	"Depression in response to interferon-based therapy in chronic hepatitis C"	1	1	0	50
"476"	"Depressive symptoms"	8	4	4	66.6666666666667
"477"	"Depressive symptoms (MTAG)"	3	3	0	50
"478"	"Depressive symptoms (SSRI exposure interaction)"	1	1	0	50
"479"	"Dermatomyositis"	1	1	0	50
"480"	"Developmental dysplasia of the hip"	3	3	0	50
"481"	"Developmental language disorder"	1	1	0	50
"482"	"Developmental language disorder (linguistic errors)"	2	0	2	100
"483"	"Diabetes (gestational)"	2	2	0	50
"484"	"Diabetic retinopathy"	8	4	4	66.6666666666667
"485"	"Diabetic retinopathy in type 2 diabetes"	1	0	1	100
"486"	"Diacylglyceride levels"	2	0	2	100
"487"	"Diastolic blood pressure"	181	105	76	63.2867132867133
"488"	"Diastolic blood pressure (alcohol consumption interaction)"	1	1	0	50
"489"	"Diastolic blood pressure (long-term average)"	1	0	1	100
"490"	"Diastolic blood pressure night-to-day ratio in hypertension"	1	1	0	50
"491"	"Diastolic blood pressure response to hydrochlorothiazide in hypertension"	1	0	1	100
"492"	"Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)"	5	1	4	83.3333333333333
"493"	"Diastolic blood pressure x alcohol consumption interaction (2df test)"	5	4	1	55.5555555555556
"494"	"Diastolic blood pressure x quantitative lifestyle risk score interaction (1df test)"	1	1	0	50
"495"	"Diastolic blood pressure x quantitative lifestyle risk score interaction (2df test)"	1	1	0	50
"496"	"Diastolic blood pressure x sodium interaction (1df test)"	1	1	0	50
"497"	"Dickkopf-related protein 1 levels"	1	1	0	50
"498"	"Dietary macronutrient intake"	13	6	7	68.4210526315789
"499"	"Diffuse plaques"	1	0	1	100
"500"	"Diffusing capacity of carbon monoxide"	3	2	1	60
"501"	"Diffusing capacity of the lung for carbon monoxide traits"	1	0	1	100
"502"	"Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)"	1	1	0	50
"503"	"Digit length ratio"	3	2	1	60
"504"	"Digit length ratio (left hand)"	6	4	2	60
"505"	"Digit length ratio (right hand)"	3	2	1	60
"506"	"Diisocyanate-induced asthma"	3	3	0	50
"507"	"Disc degeneration (lumbar)"	4	3	1	57.1428571428571
"508"	"Disease progression in age-related macular degeneration"	1	0	1	100
"509"	"Disease progression in age-related macular degeneration (adjusted for baseline)"	1	1	0	50
"510"	"Diverticular disease"	2	1	1	66.6666666666667
"511"	"Diverticulitis"	1	0	1	100
"512"	"DNA methylation (parent-of-origin)"	5	0	5	100
"513"	"DNA methylation (variation)"	2	1	1	66.6666666666667
"514"	"Drinking behavior"	1	0	1	100
"515"	"Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)"	4	1	3	80
"516"	"Duodenal ulcer"	1	1	0	50
"517"	"Dupuytren's disease"	4	3	1	57.1428571428571
"518"	"E-selectin levels"	3	3	0	50
"519"	"Ear morphology"	1	1	0	50
"520"	"Early age-related macular degeneration"	2	2	0	50
"521"	"Early cardiac repolarization"	2	2	0	50
"522"	"Early childhood aggressive behavior"	1	1	0	50
"523"	"Early onset atrial fibrillation"	1	0	1	100
"524"	"Ease of getting up in the morning"	3	2	1	60
"525"	"Eating disorders"	3	0	3	100
"526"	"Eating disorders (purging via substances)"	2	0	2	100
"527"	"Economic and political preferences"	6	3	3	66.6666666666667
"528"	"Economic and political preferences (environmentalism)"	8	6	2	57.1428571428571
"529"	"Economic and political preferences (fairness)"	3	2	1	60
"530"	"Economic and political preferences (feminism/equality)"	4	2	2	66.6666666666667
"531"	"Economic and political preferences (immigration/crime)"	4	2	2	66.6666666666667
"532"	"Economic and political preferences (time)"	2	0	2	100
"533"	"Educational attainment"	7	5	2	58.3333333333333
"534"	"Educational attainment (MTAG)"	61	33	28	64.8936170212766
"535"	"Educational attainment (years of education)"	71	37	34	65.7407407407407
"536"	"Electrocardiogram morphology (amplitude at temporal datapoints)"	726	299	427	70.8292682926829
"537"	"Electrocardiographic conduction measures"	6	3	3	66.6666666666667
"538"	"Electrocardiographic traits"	8	3	5	72.7272727272727
"539"	"Electroencephalographic traits in alcoholism"	2	1	1	66.6666666666667
"540"	"Emphysema-related traits"	1	0	1	100
"541"	"Emphysema annual change measurement in smokers (adjusted lung density)"	2	1	1	66.6666666666667
"542"	"Emphysema annual change measurement in smokers (percent low attenuation area)"	3	0	3	100
"543"	"Emphysema distribution in smoking"	5	3	2	62.5
"544"	"Emphysema imaging phenotypes"	12	5	7	70.5882352941176
"545"	"End-stage coagulation"	15	5	10	75
"546"	"End-stage renal disease in Type 1 diabetics"	1	1	0	50
"547"	"Endometrial cancer"	4	1	3	80
"548"	"Endometrial cancer (endometrioid histology)"	1	1	0	50
"549"	"Endometrial cancer (Non-endometrioid histology)"	1	1	0	50
"550"	"Endometrial endometrioid carcinoma"	1	0	1	100
"551"	"Endometriosis"	20	14	6	58.8235294117647
"552"	"Endometriosis or depression (pleiotropy)"	1	0	1	100
"553"	"Endometriosis or migraine"	2	0	2	100
"554"	"Endothelial growth factor levels"	1	1	0	50
"555"	"Energy expenditure (24h)"	1	1	0	50
"556"	"Energy intake"	1	1	0	50
"557"	"Eosinophil counts"	82	57	25	58.9928057553957
"558"	"Eosinophil percentage of granulocytes"	13	6	7	68.4210526315789
"559"	"Eosinophil percentage of white cells"	37	23	14	61.6666666666667
"560"	"Eosinophilic esophagitis"	1	0	1	100
"561"	"Eosinophilic esophagitis (pediatric)"	1	0	1	100
"562"	"Eotaxin levels"	3	3	0	50
"563"	"Epilepsy"	3	0	3	100
"564"	"Epilepsy (remission after treatment)"	1	1	0	50
"565"	"Epithelial ovarian cancer"	10	8	2	55.5555555555556
"566"	"Epstein Barr virus nuclear antigen 1 IgG levels"	8	6	2	57.1428571428571
"567"	"Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis"	1	1	0	50
"568"	"Erectile dysfunction in type 1 diabetes"	1	1	0	50
"569"	"Erythema nodosum in inflammatory bowel disease"	2	2	0	50
"570"	"Erythrocyte cadmium concentration"	1	1	0	50
"571"	"Erythrocyte cadmium concentration in never smokers"	2	2	0	50
"572"	"Erythrocyte sedimentation rate"	1	0	1	100
"573"	"Esophageal adenocarcinoma"	1	1	0	50
"574"	"Esophageal adenocarcinoma x pack-years of smoking exposure interaction"	1	0	1	100
"575"	"Esophageal cancer"	3	1	2	75
"576"	"Esophageal cancer (squamous cell)"	3	0	3	100
"577"	"Esophageal cancer and gastric cancer"	1	0	1	100
"578"	"Esophageal squamous cell carcinoma"	5	2	3	71.4285714285714
"579"	"Essential tremor"	2	1	1	66.6666666666667
"580"	"Estimated glomerular filtration rate"	94	53	41	63.9455782312925
"581"	"Estimated glomerular filtration rate after 5 years in renal transplantation (recipient effect)"	1	1	0	50
"582"	"Estimated glomerular filtration rate in diabetes"	4	0	4	100
"583"	"Estimated glomerular filtration rate in non-diabetics"	12	6	6	66.6666666666667
"584"	"Estradiol levels"	5	3	2	62.5
"585"	"Estrone levels"	1	0	1	100
"586"	"Eudaimonic well-being"	2	2	0	50
"587"	"Evening vs. morning chronotype (sMEQ score)"	1	1	0	50
"588"	"Ewing sarcoma"	3	3	0	50
"589"	"Exfoliation glaucoma or exfoliation syndrome"	1	0	1	100
"590"	"Exfoliation syndrome"	2	2	0	50
"591"	"Exhaled nitric oxide output"	1	1	0	50
"592"	"Experiencing mood swings"	4	1	3	80
"593"	"Extranodal natural killer T-cell lymphoma (nasal type)"	2	2	0	50
"594"	"Extremely high intelligence"	1	1	0	50
"595"	"Eye color"	7	3	4	70
"596"	"Eye color traits"	2	1	1	66.6666666666667
"597"	"F-cell distribution in sickle cell anaemia"	4	2	2	66.6666666666667
"598"	"Facial morphology"	3	1	2	75
"599"	"Facial morphology (factor 12, vertical position of sublabial sulcus relative to central midface)"	1	1	0	50
"600"	"Facial morphology (factor 16)"	2	2	0	50
"601"	"Facial morphology (factor 7, width of cartilaginous portion of nose)"	1	1	0	50
"602"	"Facial morphology (factor 8, orbital inclination due to vertical and horizontal position of exocanthion)"	1	1	0	50
"603"	"Facial pigmentation"	1	1	0	50
"604"	"Facial pigmentation measurement (polar light)"	1	1	0	50
"605"	"Facial pigmentation measurement (UV light)"	1	1	0	50
"606"	"Facial wrinkles"	2	2	0	50
"607"	"Factor VII activity"	5	3	2	62.5
"608"	"Factor VII activity or levels"	1	1	0	50
"609"	"Factor VIII levels"	3	3	0	50
"610"	"Fagerstr**m test for nicotine dependence"	1	0	1	100
"611"	"Familial lung cancer"	2	1	1	66.6666666666667
"612"	"Family history of Alzheimer's disease"	6	4	2	60
"613"	"Fasting blood glucose"	30	15	15	66.6666666666667
"614"	"Fasting blood glucose (BMI interaction)"	14	8	6	63.6363636363636
"615"	"Fasting blood glucose adjusted for BMI"	3	3	0	50
"616"	"Fasting blood insulin"	9	5	4	64.2857142857143
"617"	"Fasting blood insulin (BMI interaction)"	11	3	8	78.5714285714286
"618"	"Fasting blood insulin adjusted for BMI"	1	1	0	50
"619"	"Fasting blood proinsulin levels"	2	0	2	100
"620"	"Fasting glucose change (long-term)"	3	2	1	60
"621"	"Fasting insulin (dietary factor interaction)"	4	4	0	50
"622"	"Fasting plasma glucose"	5	0	5	100
"623"	"Fasting plasma glucose (childhood)"	1	1	0	50
"624"	"Fasting triglyceride levels"	2	0	2	100
"625"	"Fat body mass"	1	1	0	50
"626"	"Fatty acid desaturase activity (adipose tissue)"	1	1	0	50
"627"	"Fatty acid desaturase activity (serum)"	3	3	0	50
"628"	"Febrile seizures"	6	3	3	66.6666666666667
"629"	"Febrile seizures (MMR vaccine-related)"	8	4	4	66.6666666666667
"630"	"Febrile seizures (MMR vaccine-unrelated)"	3	2	1	60
"631"	"Feeling fed-up"	3	3	0	50
"632"	"Feeling guilty"	1	1	0	50
"633"	"Feeling hurt"	4	3	1	57.1428571428571
"634"	"Feeling miserable"	6	1	5	85.7142857142857
"635"	"Feeling nervous"	7	3	4	70
"636"	"Feeling tense"	3	1	2	75
"637"	"Feeling worry"	2	0	2	100
"638"	"Femoral neck bone mineral density"	25	15	10	62.5
"639"	"Femoral neck bone mineral density and trunk fat mass adjusted by trunk lean mass"	1	0	1	100
"640"	"Femoral neck size"	1	1	0	50
"641"	"Fetal hemoglobin levels"	1	1	0	50
"642"	"FEV1"	15	10	5	60
"643"	"Fibrinogen"	12	7	5	63.1578947368421
"644"	"Fibrinogen levels"	2	1	1	66.6666666666667
"645"	"Fibrinogen levels (smoking status, alcohol consumption or body mass index interaction)"	3	2	1	60
"646"	"Fibroblast growth factor 23 levels"	1	1	0	50
"647"	"Fibroblast growth factor basic levels"	1	0	1	100
"648"	"Folate pathway vitamin levels"	3	3	0	50
"649"	"Follicular lymphoma"	7	5	2	58.3333333333333
"650"	"Follistatin levels"	2	0	2	100
"651"	"Food allergy"	2	1	1	66.6666666666667
"652"	"Food antigen IgG levels"	1	1	0	50
"653"	"Forced expiratory volume in 1 second (environmental tobacco smoke interaction)"	1	0	1	100
"654"	"Forced expiratory volume in 1 second (occupational environmental exposures interaction)"	3	2	1	60
"655"	"Forehead morphology"	1	0	1	100
"656"	"Fractional excretion of metabolites in chronic kidney disease"	1	1	0	50
"657"	"Fractional exhaled nitric oxide (childhood)"	4	4	0	50
"658"	"Fractures"	12	7	5	63.1578947368421
"659"	"Freckles"	1	1	0	50
"660"	"Freckling"	2	2	0	50
"661"	"Free thyroxine concentration"	2	1	1	66.6666666666667
"662"	"Frontotemporal dementia"	2	1	1	66.6666666666667
"663"	"Full scale intelligence quotient (cesarean section interaction)"	1	1	0	50
"664"	"Fulminant type 1 diabetes"	3	2	1	60
"665"	"Gait speed in old age"	3	1	2	75
"666"	"Galanin peptide levels"	1	0	1	100
"667"	"Gallbladder cancer"	1	1	0	50
"668"	"Gallstone disease"	3	1	2	75
"669"	"Gambling"	2	2	0	50
"670"	"Gastric adenocarcinoma (histologically verified)"	1	0	1	100
"671"	"Gastric cancer"	4	2	2	66.6666666666667
"672"	"Gastrointestinal infection"	2	1	1	66.6666666666667
"673"	"General cognitive ability"	32	18	14	64
"674"	"General factor of neuroticism"	17	9	8	65.3846153846154
"675"	"General risk tolerance (MTAG)"	19	11	8	63.3333333333333
"676"	"Generalized epilepsy"	4	2	2	66.6666666666667
"677"	"Gestational age at birth (child effect)"	1	1	0	50
"678"	"Gestational age at birth (maternal effect)"	1	0	1	100
"679"	"Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)"	1	1	0	50
"680"	"Gestational insulin sensitivity"	1	0	1	100
"681"	"Giant cell arteritis"	1	1	0	50
"682"	"GIP levels in response to oral glucose tolerance test (120 minutes)"	3	3	0	50
"683"	"GIP levels in response to oral glucose tolerance test (fasting)"	1	1	0	50
"684"	"Glaucoma"	12	10	2	54.5454545454545
"685"	"Glaucoma (exfoliation)"	1	0	1	100
"686"	"Glaucoma (high intraocular pressure)"	2	1	1	66.6666666666667
"687"	"Glaucoma (low intraocular pressure)"	1	1	0	50
"688"	"Glaucoma (multi-trait analysis)"	3	3	0	50
"689"	"Glaucoma (primary angle closure)"	8	6	2	57.1428571428571
"690"	"Glaucoma (primary open-angle)"	15	12	3	55.5555555555556
"691"	"Glioblastoma"	2	2	0	50
"692"	"Glioblastoma (age-stratified)"	2	2	0	50
"693"	"Glioma"	14	10	4	58.3333333333333
"694"	"Glioma (high-grade)"	4	1	3	80
"695"	"Glomerular filtration rate"	6	3	3	66.6666666666667
"696"	"Glomerular filtration rate (creatinine)"	20	14	6	58.8235294117647
"697"	"Glomerular filtration rate change in heart transplantation"	1	0	1	100
"698"	"Glomerular filtration rate in chronic kidney disease"	4	2	2	66.6666666666667
"699"	"Glomerular filtration rate in diabetes"	2	0	2	100
"700"	"Glomerular filtration rate in non diabetics (creatinine)"	14	8	6	63.6363636363636
"701"	"Glucagon levels in response to oral glucose tolerance test (120 minutes)"	3	1	2	75
"702"	"Glucagon levels in response to oral glucose tolerance test (decremental area under the curve for 0-120 minutes)"	1	1	0	50
"703"	"Glucocorticoid-induced osteonecrosis"	2	0	2	100
"704"	"Glucosuria"	1	0	1	100
"705"	"Glucosuria (mild)"	1	0	1	100
"706"	"Glucosuria (moderate to severe)"	1	0	1	100
"707"	"Glycated hemoglobin levels"	33	16	17	67.3469387755102
"708"	"Glycemic traits"	2	0	2	100
"709"	"Glycemic traits (pregnancy)"	2	0	2	100
"710"	"Glycerophospholipid levels"	33	33	0	50
"711"	"Glycine levels"	11	4	7	73.3333333333333
"712"	"Gondoic acid (20:1n-9) levels"	2	2	0	50
"713"	"Gout"	10	5	5	66.6666666666667
"714"	"Gout (combined type)"	1	0	1	100
"715"	"Gout vs. Hyperuricemia"	2	1	1	66.6666666666667
"716"	"Granulocyte count"	15	11	4	57.6923076923077
"717"	"Granulocyte percentage of myeloid white cells"	12	8	4	60
"718"	"Graves' disease"	11	8	3	57.8947368421053
"719"	"group IIA secretory phospholipase A2 levels in individuals with elevated hsCRP"	1	0	1	100
"720"	"Growth-regulated protein alpha levels"	3	1	2	75
"721"	"Gut microbiota (bacterial taxa)"	10	4	6	71.4285714285714
"722"	"Gut microbiota (bacterial taxa, rank normal transformation method)"	3	2	1	60
"723"	"Gut microbiota (functional units)"	15	11	4	57.6923076923077
"724"	"Gut microbiota alpha diversity (Chao1 index)"	3	3	0	50
"725"	"Gut microbiota alpha diversity (PD_whole_tree index)"	2	2	0	50
"726"	"Gut microbiota beta diversity (weighted UniFrac distance)"	1	1	0	50
"727"	"Gut microbiota relative abundance (Eubacterium belonging to family Erysipelotrichaceae)"	1	1	0	50
"728"	"Gut microbiota relative abundance (Faecalibacterium)"	2	1	1	66.6666666666667
"729"	"Gut microbiota relative abundance (Oscillospira)"	1	1	0	50
"730"	"Gut microbiota relative abundance (Ruminococcus belonging to family Lachnospiraceae)"	2	2	0	50
"731"	"Gut microbiota relative abundance (Streptococcus)"	1	1	0	50
"732"	"Gut microbiota relative abundance (Sutterella)"	1	1	0	50
"733"	"Gut microbiota relative abundance (unclassified genus belonging to family Erysipelotrichaceae)"	3	3	0	50
"734"	"Gut microbiota relative abundance (unclassified genus belonging to family Ruminococcaceae)"	3	2	1	60
"735"	"Gut microbiota relative abundance (unclassified genus belonging to the order Clostridiales)"	1	0	1	100
"736"	"Hair color"	13	9	4	59.0909090909091
"737"	"Hair morphology"	2	1	1	66.6666666666667
"738"	"Hand grip strength"	11	8	3	57.8947368421053
"739"	"Hashimoto thyroiditis versus Graves' disease"	1	1	0	50
"740"	"Hay fever and/or eczema"	19	10	9	65.5172413793103
"741"	"HbA2 levels"	1	1	0	50
"742"	"HDL cholesterol"	125	86	39	59.2417061611374
"743"	"HDL Cholesterol - Triglycerides (HDLC-TG)"	3	1	2	75
"744"	"HDL cholesterol levels"	161	83	78	65.983606557377
"745"	"HDL cholesterol levels in current drinkers"	27	16	11	62.7906976744186
"746"	"HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df)"	30	19	11	61.2244897959184
"747"	"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)"	30	19	11	61.2244897959184
"748"	"HDL cholesterol x physical activity interaction (2df test)"	4	4	0	50
"749"	"Head circumference (infant)"	1	1	0	50
"750"	"Headache"	3	3	0	50
"751"	"Healthspan"	1	0	1	100
"752"	"Hearing loss in Charcot-Marie-Tooth disease 1A"	1	1	0	50
"753"	"Heart failure"	2	1	1	66.6666666666667
"754"	"Heart rate"	20	8	12	71.4285714285714
"755"	"Heart rate increase in response to exercise"	1	1	0	50
"756"	"Heart rate response to beta blockers (atenolol add-on therapy)"	1	1	0	50
"757"	"Heart rate response to beta blockers (atenolol monotherapy)"	5	0	5	100
"758"	"Heart rate response to exercise"	4	3	1	57.1428571428571
"759"	"Heart rate response to recovery post exercise"	7	4	3	63.6363636363636
"760"	"Heart rate response to recovery post exercise (10 sec)"	2	1	1	66.6666666666667
"761"	"Heart rate response to recovery post exercise (20 sec)"	1	1	0	50
"762"	"Heart rate response to recovery post exercise (30 sec)"	1	0	1	100
"763"	"Heart rate response to recovery post exercise (40 sec)"	1	0	1	100
"764"	"Heart rate response to recovery post exercise (50 sec)"	3	2	1	60
"765"	"Heart rate variability traits (pvRSA/HF)"	3	0	3	100
"766"	"Heart rate variability traits (RMSSD)"	3	0	3	100
"767"	"Heart rate variability traits (SDNN)"	2	0	2	100
"768"	"Heavy menstrual bleeding"	1	0	1	100
"769"	"Hedonic well-being"	1	1	0	50
"770"	"Heel bone mineral density"	161	73	88	68.8034188034188
"771"	"Heel bone mineral density (MTAG)"	1	1	0	50
"772"	"Height"	464	277	187	62.6180836707152
"773"	"Height adjusted BMI"	2	1	1	66.6666666666667
"774"	"Help-seeking from a psychiatrist"	1	0	1	100
"775"	"Hematocrit"	107	76	31	58.4699453551913
"776"	"Hematological and biochemical traits"	14	8	6	63.6363636363636
"777"	"Hematological parameters"	7	4	3	63.6363636363636
"778"	"Hematology traits"	3	2	1	60
"779"	"Hematoma volume in lobar spontaneous intracerebral hemorrhage"	1	0	1	100
"780"	"Hemoglobin"	36	27	9	57.1428571428571
"781"	"Hemoglobin A1c levels"	1	1	0	50
"782"	"Hemoglobin concentration"	70	41	29	63.0630630630631
"783"	"Hemoglobin levels"	34	28	6	54.8387096774194
"784"	"Hemostatic factors and hematological phenotypes"	2	2	0	50
"785"	"Hepatitis B"	5	2	3	71.4285714285714
"786"	"Hepatitis B (viral clearance)"	2	0	2	100
"787"	"Hepatitis B surface antigen seroclearance in chronic hepatitis B infection"	1	1	0	50
"788"	"Hepatitis B virus-related hepatocellular carcinoma"	1	1	0	50
"789"	"Hepatitis C (spontaneous viral clearance)"	3	3	0	50
"790"	"Hepatitis C induced liver cirrhosis"	1	1	0	50
"791"	"Hepatitis C induced liver fibrosis"	1	1	0	50
"792"	"Hepatocellular carcinoma"	3	3	0	50
"793"	"Hepatocellular carcinoma in hepatitis B infection"	2	0	2	100
"794"	"Hepatocyte growth factor levels"	1	0	1	100
"795"	"Hepcidin levels"	1	1	0	50
"796"	"Hepcidin/ferritin ratio"	4	3	1	57.1428571428571
"797"	"Hepcidin/transferrin saturation ratio"	2	2	0	50
"798"	"High-grade serous ovarian cancer"	3	2	1	60
"799"	"High density lipoprotein cholesterol levels"	341	155	186	68.75
"800"	"High light scatter reticulocyte count"	40	21	19	65.5737704918033
"801"	"High light scatter reticulocyte percentage of red cells"	37	21	16	63.7931034482759
"802"	"High myopia"	1	0	1	100
"803"	"Highest math class taken"	11	7	4	61.1111111111111
"804"	"Highest math class taken (MTAG)"	54	30	24	64.2857142857143
"805"	"Hip bone mineral content accrual during adolescent growth spurt"	1	1	0	50
"806"	"Hip bone size"	5	2	3	71.4285714285714
"807"	"Hip circumference"	50	26	24	65.7894736842105
"808"	"Hip circumference (psychosocial stress interaction)"	1	0	1	100
"809"	"Hip circumference adjusted for BMI"	89	50	39	64.0287769784173
"810"	"Hip minimal joint space width"	1	1	0	50
"811"	"Hippocampal atrophy"	2	1	1	66.6666666666667
"812"	"Hippocampal atrophy rate"	1	1	0	50
"813"	"Hippocampal sclerosis of aging"	1	1	0	50
"814"	"Hippocampal subfield CA4 volume"	1	1	0	50
"815"	"Hippocampal volume"	5	0	5	100
"816"	"Hirschsprung disease"	2	0	2	100
"817"	"HIV-1 control"	6	4	2	60
"818"	"HIV-1 susceptibility"	1	1	0	50
"819"	"HIV-associated neurocognitive disorder (asymptomatic neurocogntive impairment)"	1	0	1	100
"820"	"Hodgkin's lymphoma"	3	3	0	50
"821"	"Homeostasis model assessment of beta-cell function"	7	4	3	63.6363636363636
"822"	"Homeostasis model assessment of beta-cell function (dietary factor interaction)"	2	2	0	50
"823"	"Homeostasis model assessment of insulin resistance"	1	0	1	100
"824"	"Homeostasis model assessment of insulin resistance (dietary factor interaction)"	4	4	0	50
"825"	"Homoarginine levels"	1	1	0	50
"826"	"Homocysteine levels"	9	8	1	52.9411764705882
"827"	"Hormone measurements"	1	1	0	50
"828"	"Hospital contact for infections"	3	0	3	100
"829"	"Household income"	5	5	0	50
"830"	"Household income (MTAG)"	21	14	7	60
"831"	"Hyperemesis gravidarum"	1	0	1	100
"832"	"Hypersomnia (HLA-DQB1*06:02 negative)"	2	2	0	50
"833"	"Hypertension"	52	27	25	65.8227848101266
"834"	"Hyperthyroidism"	1	0	1	100
"835"	"Hypertriglyceridemia"	2	0	2	100
"836"	"Hypospadias"	13	7	6	65
"837"	"Hypothyroidism"	8	8	0	50
"838"	"Ideal cardiovascular health (clinical)"	1	1	0	50
"839"	"Idiopathic dilated cardiomyopathy"	1	1	0	50
"840"	"Idiopathic membranous nephropathy"	1	1	0	50
"841"	"Idiopathic pulmonary fibrosis"	4	1	3	80
"842"	"IgA levels"	3	3	0	50
"843"	"IgA nephropathy"	32	27	5	54.2372881355932
"844"	"IgE grass sensitization"	4	3	1	57.1428571428571
"845"	"IgE levels"	5	4	1	55.5555555555556
"846"	"IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis)"	2	1	1	66.6666666666667
"847"	"IgG digalactosylation phenotypes (multivariate analysis)"	2	1	1	66.6666666666667
"848"	"IgG disialylation phenotypes (multivariate analysis)"	2	1	1	66.6666666666667
"849"	"IgG fucosylation phenotypes (multivariate analysis)"	1	0	1	100
"850"	"IgG galactosylation phenotypes (multivariate analysis)"	3	1	2	75
"851"	"IgG glycosylation"	202	71	131	73.992673992674
"852"	"IgG monogalactosylation phenotypes (multivariate analysis)"	2	1	1	66.6666666666667
"853"	"IgG N-glycosylation phenotypes (multivariate analysis)"	6	2	4	75
"854"	"IgG sialylation phenotypes (multivariate analysis)"	2	1	1	66.6666666666667
"855"	"IgM levels"	6	2	4	75
"856"	"Immature fraction of reticulocytes"	32	20	12	61.5384615384615
"857"	"Immune reponse to smallpox (secreted IFN-alpha)"	2	2	0	50
"858"	"Immune reponse to smallpox (secreted TNF-alpha)"	1	1	0	50
"859"	"Immune response to measles vaccine (measles-specific neutralising antibody titre)"	1	0	1	100
"860"	"Incident atrial fibrillation"	1	0	1	100
"861"	"Infant head circumference (MTAG)"	3	2	1	60
"862"	"Infant length"	10	8	2	55.5555555555556
"863"	"Infantile hypertrophic pyloric stenosis"	9	5	4	64.2857142857143
"864"	"Inflammatory biomarkers"	3	1	2	75
"865"	"Inflammatory bowel disease"	98	58	40	62.8205128205128
"866"	"Information processing speed"	9	5	4	64.2857142857143
"867"	"Inhibitory control"	1	1	0	50
"868"	"Initial pursuit acceleration"	1	0	1	100
"869"	"Insomnia"	24	14	10	63.1578947368421
